,freq2010,word,year,type,freq2020,freq_difference,freq2020_norm_6.4
51,21.75,duckface,2010,slang,49.67,2.2836781609195405,7.7609375
52,24.23,tweeker,2010,slang,28.25,1.165910028889806,4.4140625
53,89.22,gunt,2010,slang,91.1,1.021071508630352,14.234374999999998
54,79.0,pregos,2010,slang,78.62,0.9951898734177216,12.284375
55,329.5,bromance,2010,slang,2510.45,7.61896813353566,392.25781249999994
56,3.15,dafuq,2010,slang,1446.35,459.1587301587301,225.99218749999997
57,0.3,yookay,2010,slang,7.45,24.833333333333336,1.1640625
58,12.43,bumfuck,2010,slang,59.75,4.806918744971842,9.3359375
59,216.25,gotsta,2010,slang,46.58,0.21539884393063582,7.278124999999999
60,2.75,whadja,2010,slang,1.8,0.6545454545454545,0.28125
61,160.53,tenner,2010,slang,626.65,3.903631719927739,97.91406249999999
62,174.9,poopy,2010,slang,801.48,4.582504288164666,125.23125
63,8.55,roshambo,2010,slang,13.55,1.5847953216374269,2.1171875
64,35.12,prettyful,2010,slang,7.58,0.21583143507972666,1.184375
65,6.47,jerkwad,2010,slang,15.65,2.4188562596599694,2.4453125
66,15.07,skeevy,2010,slang,74.2,4.923689449236894,11.59375
67,0.47,brotox,2010,slang,2.88,6.127659574468085,0.44999999999999996
68,46.67,linner,2010,slang,39.0,0.8356545961002785,6.09375
69,2890.75,badass,2010,slang,17731.8,6.1339790711753,2770.5937499999995
70,214.97,skyrocket,2010,slang,2047.45,9.52435223519561,319.9140625
71,52.35,chones,2010,slang,191.78,3.66341929321872,29.965625
72,15.93,celebutante,2010,slang,1.23,0.07721280602636535,0.19218749999999998
73,22.45,colitas,2010,slang,421.27,18.76481069042316,65.8234375
74,3654.45,pedo,2010,slang,51384.05,14.060679445607411,8028.7578125
75,399.15,crowdsourcing,2010,slang,589.23,1.4762119503945885,92.0671875
76,0.07,tardnation,2010,slang,0.23,3.2857142857142856,0.0359375
77,37.9,roofie,2010,slang,96.15,2.536939313984169,15.0234375
78,36.9,mosey,2010,slang,387.32,10.496476964769649,60.51875
79,6.3,gorp,2010,slang,74.12,11.765079365079366,11.58125
80,1.98,punanni,2010,slang,2.52,1.2727272727272727,0.39375
81,65.15,shart,2010,slang,574.88,8.823944742900997,89.82499999999999
82,32.98,glitterati,2010,slang,39.73,1.2046694966646452,6.207812499999999
83,5.7,thingamabob,2010,slang,11.97,2.1,1.8703125
84,13.05,jalopy,2010,slang,65.17,4.993869731800766,10.182812499999999
85,109.6,nuker,2010,slang,123.95,1.1309306569343067,19.3671875
86,104.47,dudette,2010,slang,278.52,2.666028524935388,43.51875
87,509.35,fanboy,2010,slang,12644.05,24.82389319721213,1975.6328124999998
88,1.33,sploof,2010,slang,4.22,3.1729323308270674,0.6593749999999999
89,5.22,bupkis,2010,slang,31.23,5.982758620689656,4.8796875
90,0.05,zories,2010,slang,0.35,6.999999999999999,0.05468749999999999
91,45.2,rapey,2010,slang,2039.65,45.125,318.6953125
92,0.28,incel,2010,slang,3423.75,12227.67857142857,534.9609375
93,38.6,preemie,2010,slang,106.47,2.7582901554404144,16.635937499999997
94,146.93,mcdreamy,2010,slang,134.53,0.9156060709181243,21.0203125
95,21.78,sinse,2010,slang,60.17,2.7626262626262625,9.401562499999999
96,55.57,bonehead,2010,slang,367.85,6.6195789094835344,57.4765625
97,140.62,blankie,2010,slang,362.23,2.5759493670886076,56.5984375
98,0.97,hypermiler,2010,slang,0.25,0.2577319587628866,0.0390625
99,0.8,fidiot,2010,slang,20.8,26.0,3.25
