freq,word,year,type
29140.55,zombie,2020,both
885.67,annihilated,2020,both
1726.30,grub,2020,both
6300.35,styling,2020,both
11616.45,streak,2020,both
11094.00,thirsty,2020,both
56815.57,bomb,2020,both
284863.05,fire,2020,both
22.88,zounds,2020,both
498.57,freckle,2020,both
975.73,gridlock,2020,both
71.30,crossfade,2020,both
1212.58,kosher,2020,both
766865.90,money,2020,both
114.40,slack-jawed,2020,both
72011.85,ent,2020,both
1691.08,crock,2020,both
564.65,skeeter,2020,both
8356.73,locks,2020,both
109.45,compy,2020,both
15712.52,rad,2020,both
11381.08,gag,2020,both
30886.47,booty,2020,both
827.22,walkie,2020,both
42926.44,tool,2020,both
27376.30,jill,2020,both
6611.55,ratchet,2020,both
340485.03,hell,2020,both
1032818.65,god,2020,both
22044.62,threads,2020,both
730.90,gnarly,2020,both
41659.38,bowl,2020,both
117352.15,sport,2020,both
409.15,pecker,2020,both
15408.35,swap,2020,both
351274.80,book,2020,both
76634.75,screaming,2020,both
35360.97,thick,2020,both
4451.55,foxy,2020,both
8451.65,sassy,2020,both
45148.95,scream,2020,both
197830.17,walk,2020,both
162202.52,eye,2020,both
432.40,roadkill,2020,both
21683.20,dirt,2020,both
84413.70,fat,2020,both
174201.58,item,2020,both
1981.60,plums,2020,both
19216.38,grip,2020,both
315639.38,move,2020,both
5056.85,jock,2020,both
2188.47,hanger,2020,both
19714.62,brains,2020,both
307191.05,peace,2020,both
233240.02,mine,2020,both
6010.90,pinch,2020,both
141.07,tweaker,2020,both
357.05,fruitcake,2020,both
274.65,whippet,2020,both
6945.12,wrecked,2020,both
92236.32,kick,2020,both
7549.43,sausage,2020,both
26142.08,pig,2020,both
41765.70,egg,2020,both
110.08,peeper,2020,both
415742.78,head,2020,both
3591.97,mule,2020,both
14353.23,fence,2020,both
305.95,gumby,2020,both
509.80,fluffer,2020,both
680.15,toots,2020,both
92507.05,classic,2020,both
40210.22,bloody,2020,both
15010.88,stat,2020,both
5287.57,stew,2020,both
8709.90,dim,2020,both
21277.25,postal,2020,both
21920.88,gig,2020,both
34666.32,beef,2020,both
452.05,decompress,2020,both
8524.75,bookmark,2020,both
93360.98,chicken,2020,both
1208.67,squawk,2020,both
137.68,peckish,2020,both
30591.40,split,2020,both
21919.90,dose,2020,both
1499.15,scoot,2020,both
263410.75,mad,2020,both
18698.35,bastard,2020,both
20920.72,bounce,2020,both
23353.05,candle,2020,both
944.23,scissor,2020,both
6198.02,windy,2020,both
2334.20,balling,2020,both
2949.95,jammed,2020,both
29075.95,sneak,2020,both
62034.45,ghost,2020,both
2129.80,hitter,2020,both
10134.02,smoked,2020,both
1128352.80,down,2020,both
