freq,word,year,type
7712.75,agenda,2010,nonslang
29.85,weimaraner,2010,nonslang
18.52,lawlessness,2010,nonslang
203.25,chug,2010,nonslang
1.50,nonskid,2010,nonslang
13.43,sympathizer,2010,nonslang
0.95,despoil,2010,nonslang
22.30,milepost,2010,nonslang
