,freq2010,word,year,type,freq2020,freq2020_norm,freq_diff_unnormalized,freq_diff,div_freq_larger,abs_diff_norm,relative_diff,log_diff,abs_log_diff
0,7712.75,agenda,2010,nonslang,108277.5,16918.359375,14.038766976759263,2.193557340118635,2.193557340118635,1.1935573401186348,0.7474782588837414,0.7855245822073028,0.7855245822073028
1,29.85,weimaraner,2010,nonslang,107.3,16.765625,3.59463986599665,0.5616624790619765,1.7804287045666356,0.4383375209380235,0.56137293021385,-0.5768541805675845,0.5768541805675845
2,18.52,lawlessness,2010,nonslang,6136.02,958.7531250000001,331.3185745140389,51.76852726781858,51.76852726781858,50.76852726781858,1.924197240152286,3.946782382910533,3.946782382910533
3,203.25,chug,2010,nonslang,1347.65,210.5703125,6.6305043050430506,1.0360162976629765,1.0360162976629765,0.03601629766297663,0.03537918405104873,0.0353828750484746,0.0353828750484746
4,1.5,nonskid,2010,nonslang,4.67,0.7296874999999999,3.1133333333333333,0.48645833333333327,2.0556745182012848,0.5135416666666667,0.690960056061668,-0.7206040267929847,0.7206040267929847
5,13.43,sympathizer,2010,nonslang,954.12,149.08124999999998,71.0439314966493,11.10061429635145,11.10061429635145,10.10061429635145,1.6694382696582541,2.40700044880062,2.40700044880062
6,0.95,despoil,2010,nonslang,28.57,4.4640625,30.073684210526316,4.699013157894737,4.699013157894737,3.6990131578947367,1.298124098124098,1.5473525202646061,1.5473525202646061
7,22.3,milepost,2010,nonslang,130.43,20.3796875,5.848878923766816,0.913887331838565,1.0942267883155716,0.08611266816143504,0.08998718652754903,-0.09004798444950758,0.09004798444950758
8,0.96,superabundance,2010,nonslang,12.35,1.9296874999999998,12.864583333333334,2.010091145833333,2.010091145833333,1.0100911458333333,0.6711365848383258,0.698180067228615,0.698180067228615
9,481.85,admitting,2010,nonslang,13728.8,2145.1249999999995,28.491854311507726,4.451852236173082,4.451852236173082,3.451852236173082,1.2663043995470076,1.4933202424251704,1.4933202424251704
10,0.72,dysthymic,2010,nonslang,4.8,0.7499999999999999,6.666666666666667,1.0416666666666665,1.0416666666666665,0.04166666666666655,0.04081632653061214,0.040821994520254985,0.040821994520254985
11,1.95,scummiest,2010,nonslang,76.35,11.929687499999998,39.15384615384615,6.117788461538461,6.117788461538461,5.117788461538461,1.4380276933468423,1.8112006687233597,1.8112006687233597
12,1754.5,strap,2010,nonslang,8490.8,1326.6874999999998,4.83944143630664,0.7561627244229124,1.322466669807321,0.24383727557708762,0.2776932594981644,-0.2794986820186072,0.2794986820186072
13,5800.5,guardian,2010,nonslang,52450.78,8195.434374999999,9.042458408757865,1.4128841263684164,1.4128841263684164,0.4128841263684163,0.3422328671786158,0.34563309493878447,0.34563309493878447
14,12.0,shylock,2010,nonslang,375.18,58.621874999999996,31.265,4.88515625,4.88515625,3.8851562499999996,1.3203239081375282,1.586201270653635,1.586201270653635
15,0.26,bedchambers,2010,nonslang,4.4,0.6875,16.923076923076923,2.644230769230769,2.644230769230769,1.6442307692307692,0.9023746701846965,0.9723801985251986,0.9723801985251986
16,100.22,glutton,2010,nonslang,374.05,58.4453125,3.7322889642785873,0.5831701506685293,1.714765405694426,0.41682984933147077,0.526576185327212,-0.5392762815787907,0.5392762815787907
17,104.83,squall,2010,nonslang,840.61,131.3453125,8.01879233043976,1.2529363016312125,1.2529363016312125,0.2529363016312125,0.22453923925685507,0.22548983793472183,0.22548983793472183
18,0.1,antipathies,2010,nonslang,3.25,0.5078125,32.5,5.078125,5.078125,4.078125,1.3419023136246788,1.6249420989700656,1.6249420989700656
19,2.9,underpainting,2010,nonslang,37.98,5.934374999999999,13.09655172413793,2.0463362068965516,2.0463362068965516,1.0463362068965516,0.6869472939511849,0.7160509780260852,0.7160509780260852
20,18.88,morphology,2010,nonslang,263.0,41.09375,13.930084745762713,2.176575741525424,2.176575741525424,1.1765757415254239,0.7407824256445529,0.7777528810947838,0.7777528810947838
21,0.19,subtended,2010,nonslang,2.42,0.378125,12.736842105263158,1.9901315789473684,1.9901315789473684,0.9901315789473684,0.6622662266226622,0.6882007566246198,0.6882007566246198
22,10.5,vanadium,2010,nonslang,118.1,18.453124999999996,11.247619047619047,1.7574404761904758,1.7574404761904758,0.7574404761904758,0.5493793847814353,0.5638584756742125,0.5638584756742125
23,45.12,competencies,2010,nonslang,2111.4,329.90625,46.79521276595745,7.311751994680852,7.311751994680852,6.311751994680852,1.518753687241893,1.9894829160001648,1.9894829160001648
24,1418.85,mushroom,2010,nonslang,8026.23,1254.0984374999998,5.656855904429643,0.8838837350671318,1.1313705189111203,0.11611626493286824,0.12327328143605472,-0.12342974641146535,0.12342974641146535
25,16.15,jugglers,2010,nonslang,54.27,8.4796875,3.3603715170278643,0.5250580495356038,1.9045513174866406,0.4749419504643962,0.6228509801433736,-0.6442464519589782,0.6442464519589782
26,128.62,doubleheader,2010,nonslang,768.8,120.12499999999999,5.977297465401959,0.933952728969056,1.0707180020811655,0.06604727103094402,0.06830288045990889,-0.06832945341626066,0.06832945341626066
27,19.4,decomposition,2010,nonslang,382.18,59.715624999999996,19.700000000000003,3.078125,3.078125,2.078125,1.0191570881226053,1.1243206453783166,1.1243206453783166
28,185.0,rump,2010,nonslang,1915.6,299.31249999999994,10.354594594594595,1.6179054054054052,1.6179054054054052,0.6179054054054051,0.4720609110853011,0.4811323530245032,0.4811323530245032
29,152.03,heaviest,2010,nonslang,1430.35,223.49218749999997,9.40834045911991,1.470053196737486,1.470053196737486,0.4700531967374858,0.3806016788288973,0.3852985883926589,0.3852985883926589
