,word,freq2010,freq2020,type,semantic_change,polysemy
89,doubleheader,128.62,120.125,nonslang,0.7475454984714438,2
90,decomposition,19.4,59.715625,nonslang,0.7376917931516734,2
91,rump,185.0,299.31249999999994,nonslang,0.7402643909296641,3
92,heaviest,152.03,223.4921875,nonslang,0.7414622548837466,17
93,echo,3661.57,6124.2265625,nonslang,0.7385665116670121,9
94,scallywag,23.3,12.2578125,nonslang,0.7310876094794696,2
95,peppy,209.5,133.6171875,nonslang,0.7389454385615264,1
96,shield,1223.58,4031.1234375,nonslang,0.7448870611945574,8
97,banzai,219.95,198.4765625,nonslang,0.7428219457162002,1
98,pantsuit,17.25,51.43749999999999,nonslang,0.7413736683021953,1
99,legalist,2.98,2.315625,nonslang,0.7223434730411356,2
100,moldovan,21.6,20.3234375,nonslang,0.7488661470582353,1
101,terrifies,64.38,248.7765625,nonslang,0.7209804452236029,2
102,postural,16.6,52.2703125,nonslang,0.7420275526261257,1
103,butane,41.8,15.371875,nonslang,0.7446208234486431,1
104,grisly,54.92,77.56249999999999,nonslang,0.7387119494749319,2
105,scheme,2074.88,7530.0,nonslang,0.7484617826720475,5
106,jute,57.02,87.6953125,nonslang,0.7444218741906996,2
107,anticlockwise,41.55,11.0984375,nonslang,0.7746812732468532,1
108,underrated,986.08,5905.859375,nonslang,0.7372237239771664,1
109,trampolining,16.52,6.687499999999999,nonslang,0.7234801216174306,1
110,awesome,91723.07,28310.2609375,nonslang,0.7270758408070195,2
111,humblest,25.45,94.309375,nonslang,0.7255129947305705,5
112,galavant,3.88,12.937499999999998,nonslang,0.7364457476587893,2
113,sailor,1075.3,2482.59375,nonslang,0.7344256753135308,3
114,fiddled,19.7,266.07031249999994,nonslang,0.7480781099461097,9
115,bright,8268.9,16892.453125,nonslang,0.7364151299960866,9
116,epilator,22.55,8.893749999999997,nonslang,0.7322513317409336,1
117,sabertooth,23.38,39.8875,nonslang,0.7342245350312622,1
118,calorie,894.38,312.2921875,nonslang,0.7370436379289609,2
119,conventionally,13.5,72.9875,nonslang,0.7302594240853619,4
120,telogen,1.35,1.25,nonslang,0.7376919759287833,1
121,deathblow,4.97,11.890624999999998,nonslang,0.7416046770227365,2
122,repentant,24.45,200.95,nonslang,0.7290468289992977,2
123,superabundance,0.96,1.9296875,nonslang,0.7374422080735313,1
124,admitting,481.85,2145.1249999999995,nonslang,0.7354560264268295,5
125,scummiest,1.95,11.929687499999998,nonslang,0.7276223775753239,3
126,strap,1754.5,1326.6874999999998,nonslang,0.7451044761757736,8
127,shylock,12.0,58.621875,nonslang,0.7365066386858576,3
128,glutton,100.22,58.4453125,nonslang,0.7248134092345748,2
129,squall,104.83,131.3453125,nonslang,0.7325215976044294,6
130,underpainting,2.9,5.934374999999998,nonslang,0.7210470706043306,1
131,morphology,18.88,41.09375,nonslang,0.7452372178694678,4
132,avoiders,4.28,31.0890625,nonslang,0.7391933594334996,3
133,outlawing,16.55,59.45,nonslang,0.7355751856750099,6
134,protocol,703.65,2342.0546875,nonslang,0.7435159830629748,4
135,ignites,128.4,79.8328125,nonslang,0.7433581441890441,5
136,didot,36.38,5.9796875,nonslang,0.7345295251047381,1
137,sculptured,14.55,15.390625,nonslang,0.7401030286355093,6
138,committeeman,4.65,3.5546875,nonslang,0.7466526242628586,2
139,snug,239.55,137.54687499999997,nonslang,0.7395951347127745,9
140,mistreatment,28.2,715.71875,nonslang,0.7430666523158251,1
141,greeting,1241.17,2576.4328125,nonslang,0.7448227215002048,2
142,groans,188.95,90.7109375,nonslang,0.7445569643145307,3
143,unlike,2505.93,5838.6375,nonslang,0.7397198849812043,3
144,unmatched,99.55,1564.5234375,nonslang,0.7440809193151896,2
145,steeple,37.85,33.4421875,nonslang,0.7344794684376671,1
146,estimated,1845.12,2661.25,nonslang,0.7481290378560117,7
147,contenders,370.8,510.53125,nonslang,0.7444193265524806,1
148,allotted,37.38,184.546875,nonslang,0.7446526198108625,1
149,enhancements,216.9,106.5625,nonslang,0.7465371264260412,1
150,copyediting,17.23,9.003124999999997,nonslang,0.7263979156173561,2
151,adulterous,31.7,59.996875,nonslang,0.7428585250217421,1
152,upgrade,5741.82,3541.2656249999995,nonslang,0.7376268912462959,5
153,intimidator,28.75,14.940625,nonslang,0.7357844831830429,1
