,word,freq2010,freq2020,type,semantic_change,polysemy,most_common,Noun_binary,Verb_binary,Adj_binary,Adverb_binary
33,pregos,79.0,12.284375,slang,0.7349089036272474,2,Noun,1,1,1,0
34,bromance,329.5,392.2578125,slang,0.7270888552592016,1,Noun,1,0,0,0
35,bumfuck,12.43,9.3359375,slang,0.7259344007587611,1,Noun,1,1,1,0
36,gotsta,216.25,7.278124999999998,slang,0.7345889889516146,1,Verb,1,1,1,0
37,whadja,2.75,0.28125,slang,0.6738009496250403,1,Noun,1,1,1,0
38,tenner,160.53,97.9140625,slang,0.7228441820373848,1,Noun,1,0,0,0
39,poopy,174.9,125.23125,slang,0.7268126877350516,1,Noun,1,1,1,0
40,roshambo,8.55,2.1171875,slang,0.7184536201796567,3,Noun,1,1,1,0
41,prettyful,35.12,1.184375,slang,0.7208076792787197,1,Adj,1,0,1,0
42,jerkwad,6.47,2.4453125,slang,0.729512934015541,1,Noun,1,0,1,0
43,skeevy,15.07,11.59375,slang,0.7277458822709681,1,Noun,1,1,1,0
44,badass,2890.75,2770.5937499999995,slang,0.7329733288189019,5,Noun,1,0,1,0
45,skyrocket,214.97,319.9140625,slang,0.7464771150580729,1,Verb,1,1,0,0
46,snitch,724.92,933.4921875,slang,0.7357368278959826,4,Noun,1,1,0,0
47,bro,51198.55,74785.578125,slang,0.7214544952929567,5,Noun,1,1,0,0
48,chones,52.35,29.965625,slang,0.7338825584679484,1,Noun,1,0,0,0
49,colitas,22.45,65.8234375,slang,0.6872712598833497,1,Noun,1,0,0,0
50,pedo,3654.45,8028.7578125,slang,0.7385067782504922,1,Noun,1,1,1,0
51,roofie,37.9,15.0234375,slang,0.7245141968764972,3,Noun,1,1,1,0
52,mosey,36.9,60.51875,slang,0.7423795987173745,1,Noun,1,1,0,0
53,gorp,6.3,11.58125,slang,0.7347890779498284,5,Noun,1,1,1,0
54,shart,65.15,89.82499999999997,slang,0.7320310547871662,1,Noun,1,1,1,0
55,glitterati,32.98,6.207812499999998,slang,0.7440687076356665,1,Noun,1,0,1,0
56,relly,313.23,54.16406249999999,slang,0.7304990748844093,1,Adverb,0,0,0,1
57,dang,13040.08,3371.9687499999995,slang,0.7204038421780096,7,Noun,1,1,0,0
58,thingamabob,5.7,1.8703125,slang,0.7376289309530819,1,Noun,1,0,0,0
59,jalopy,13.05,10.1828125,slang,0.7372336140352136,1,Noun,1,0,0,0
60,jabroni,41.0,77.496875,slang,0.7249551926577467,2,Noun,1,1,0,0
61,meme,6443.98,58427.04687499999,slang,0.7306391415995424,1,Noun,1,0,1,0
62,netizen,59.52,935.60625,slang,0.738754475714904,1,Adj,1,0,1,1
63,slore,220.78,2.55,slang,0.7273521161500947,1,Noun,1,1,0,1
64,blumpkin,18.55,2.809375,slang,0.7193258481162841,1,Noun,1,0,1,0
65,plastered,142.57,249.765625,slang,0.7398815018047074,1,Verb,0,1,1,0
66,nuker,109.6,19.3671875,slang,0.7403531273638644,1,Noun,1,0,0,0
67,dudette,104.47,43.51875,slang,0.7102431996416941,1,Noun,1,0,0,0
68,fanboy,509.35,1975.6328125,slang,0.7372730511287084,1,Noun,1,0,1,0
69,rapey,45.2,318.6953125,slang,0.7276129542927336,1,Noun,1,1,1,0
70,preemie,38.6,16.635937499999994,slang,0.7339024447486191,1,Noun,1,0,1,0
71,mcdreamy,146.93,21.02,slang,0.7256584697444612,1,Noun,1,1,1,0
72,sucky,622.38,105.8828125,slang,0.7257989706778587,1,Adj,1,0,1,0
73,sinse,21.78,9.4015625,slang,0.7385133179943536,1,Noun,1,1,1,0
74,bonehead,55.57,57.4765625,slang,0.7253801643029523,1,Noun,1,1,1,0
75,blankie,140.62,56.5984375,slang,0.735655259117115,1,Noun,1,0,0,0
76,bupkis,5.22,4.8796875,slang,0.7408247356353554,1,Noun,1,1,1,1
77,dogg,2375.8,1062.45,slang,0.7492590751246855,16,Noun,1,0,0,0
78,agenda,7712.75,16918.359375,nonslang,0.7453901781716663,2,Noun,1,0,0,0
79,lawlessness,18.52,958.753125,nonslang,0.7386092318380535,2,Noun,1,0,1,0
80,chug,203.25,210.5703125,nonslang,0.7309788051203429,3,Verb,1,1,0,0
81,nonskid,1.5,0.7296874999999999,nonslang,0.7582043945253498,1,Adj,1,0,1,0
82,sympathizer,13.43,149.08124999999995,nonslang,0.7465614320159327,4,Noun,1,0,0,0
83,despoil,0.95,4.4640625,nonslang,0.742224968684293,1,Verb,1,1,0,0
84,milepost,22.3,20.3796875,nonslang,0.7523356964409842,2,Noun,1,0,1,1
85,vanadium,10.5,18.453125,nonslang,0.7444075563726662,1,Noun,1,0,0,0
86,competencies,45.12,329.90625,nonslang,0.7419462964801089,2,Noun,1,0,0,0
87,mushroom,1418.85,1254.0984374999996,nonslang,0.7376464449772204,6,Noun,1,0,0,0
88,jugglers,16.15,8.4796875,nonslang,0.7358605970547905,2,Noun,1,0,0,0
89,doubleheader,128.62,120.125,nonslang,0.7475454984714438,2,Noun,1,1,0,0
90,decomposition,19.4,59.715625,nonslang,0.7376917931516734,2,Noun,1,0,0,0
91,rump,185.0,299.31249999999994,nonslang,0.7402643909296641,3,Noun,1,0,0,0
92,heaviest,152.03,223.4921875,nonslang,0.7414622548837466,17,Adj,0,0,1,0
93,echo,3661.57,6124.2265625,nonslang,0.7385665116670121,9,Noun,1,1,1,0
94,scallywag,23.3,12.2578125,nonslang,0.7310876094794696,2,Noun,1,1,1,0
95,peppy,209.5,133.6171875,nonslang,0.7389454385615264,1,Adj,1,0,1,0
96,shield,1223.58,4031.1234375,nonslang,0.7448870611945574,8,Noun,1,1,1,0
97,banzai,219.95,198.4765625,nonslang,0.7428219457162002,1,Noun,1,0,1,0
98,pantsuit,17.25,51.43749999999999,nonslang,0.7413736683021953,1,Noun,1,0,0,0
99,legalist,2.98,2.315625,nonslang,0.7223434730411356,2,Noun,1,0,1,0
100,moldovan,21.6,20.3234375,nonslang,0.7488661470582353,1,Noun,1,0,1,0
101,terrifies,64.38,248.7765625,nonslang,0.7209804452236029,2,Noun,1,1,0,0
102,postural,16.6,52.2703125,nonslang,0.7420275526261257,1,Adj,0,0,1,0
103,butane,41.8,15.371875,nonslang,0.7446208234486431,1,Noun,1,0,0,0
104,grisly,54.92,77.56249999999999,nonslang,0.7387119494749319,2,Adverb,0,0,1,1
105,scheme,2074.88,7530.0,nonslang,0.7484617826720475,5,Noun,1,0,0,0
106,jute,57.02,87.6953125,nonslang,0.7444218741906996,2,Noun,1,0,1,0
107,anticlockwise,41.55,11.0984375,nonslang,0.7746812732468532,1,Noun,1,1,0,1
108,underrated,986.08,5905.859375,nonslang,0.7372237239771664,1,Adj,0,1,1,0
109,trampolining,16.52,6.687499999999999,nonslang,0.7234801216174306,1,Verb,1,1,0,0
110,awesome,91723.07,28310.2609375,nonslang,0.7270758408070195,2,Adj,1,0,1,0
111,humblest,25.45,94.309375,nonslang,0.7255129947305705,5,Adj,1,0,1,0
112,galavant,3.88,12.937499999999998,nonslang,0.7364457476587893,2,Noun,1,1,1,0
113,sailor,1075.3,2482.59375,nonslang,0.7344256753135308,3,Noun,1,0,0,0
114,fiddled,19.7,266.07031249999994,nonslang,0.7480781099461097,9,Verb,0,1,0,0
115,bright,8268.9,16892.453125,nonslang,0.7364151299960866,9,Adj,1,1,1,0
116,epilator,22.55,8.893749999999997,nonslang,0.7322513317409336,1,Noun,1,0,0,0
117,sabertooth,23.38,39.8875,nonslang,0.7342245350312622,1,Noun,1,1,1,0
118,calorie,894.38,312.2921875,nonslang,0.7370436379289609,2,Noun,1,0,1,0
119,conventionally,13.5,72.9875,nonslang,0.7302594240853619,4,Adverb,0,0,0,1
120,telogen,1.35,1.25,nonslang,0.7376919759287833,1,Noun,1,1,1,0
121,deathblow,4.97,11.890624999999998,nonslang,0.7416046770227365,2,Noun,1,1,1,0
122,repentant,24.45,200.95,nonslang,0.7290468289992977,2,Adj,1,0,1,0
123,superabundance,0.96,1.9296875,nonslang,0.7374422080735313,1,Noun,1,0,0,0
124,admitting,481.85,2145.1249999999995,nonslang,0.7354560264268295,5,Verb,0,1,0,0
125,scummiest,1.95,11.929687499999998,nonslang,0.7276223775753239,3,Adj,1,0,1,0
126,strap,1754.5,1326.6874999999998,nonslang,0.7451044761757736,8,Noun,1,1,0,0
127,shylock,12.0,58.621875,nonslang,0.7365066386858576,3,Noun,1,1,0,0
128,glutton,100.22,58.4453125,nonslang,0.7248134092345748,2,Noun,1,0,0,0
129,squall,104.83,131.3453125,nonslang,0.7325215976044294,6,Noun,1,1,1,0
130,underpainting,2.9,5.934374999999998,nonslang,0.7210470706043306,1,Noun,1,1,1,0
131,morphology,18.88,41.09375,nonslang,0.7452372178694678,4,Noun,1,0,0,0
132,avoiders,4.28,31.0890625,nonslang,0.7391933594334996,3,Noun,1,0,0,0
133,outlawing,16.55,59.45,nonslang,0.7355751856750099,6,Verb,1,1,0,0
134,protocol,703.65,2342.0546875,nonslang,0.7435159830629748,4,Noun,1,0,0,0
135,ignites,128.4,79.8328125,nonslang,0.7433581441890441,5,Verb,1,1,0,0
136,didot,36.38,5.9796875,nonslang,0.7345295251047381,1,Noun,1,1,1,0
137,sculptured,14.55,15.390625,nonslang,0.7401030286355093,6,Verb,0,1,1,0
138,committeeman,4.65,3.5546875,nonslang,0.7466526242628586,2,Noun,1,0,0,0
139,snug,239.55,137.54687499999997,nonslang,0.7395951347127745,9,Noun,1,1,1,0
140,mistreatment,28.2,715.71875,nonslang,0.7430666523158251,1,Noun,1,0,0,0
141,greeting,1241.17,2576.4328125,nonslang,0.7448227215002048,2,Verb,1,1,0,0
142,groans,188.95,90.7109375,nonslang,0.7445569643145307,3,Noun,1,1,0,0
143,unlike,2505.93,5838.6375,nonslang,0.7397198849812043,3,Noun,0,0,0,0
144,unmatched,99.55,1564.5234375,nonslang,0.7440809193151896,2,Adj,0,1,1,0
145,steeple,37.85,33.4421875,nonslang,0.7344794684376671,1,Noun,1,0,1,0
146,estimated,1845.12,2661.25,nonslang,0.7481290378560117,7,Verb,0,1,1,0
147,contenders,370.8,510.53125,nonslang,0.7444193265524806,1,Noun,1,0,0,0
148,allotted,37.38,184.546875,nonslang,0.7446526198108625,1,Verb,0,1,1,0
149,enhancements,216.9,106.5625,nonslang,0.7465371264260412,1,Noun,1,0,0,0
150,copyediting,17.23,9.003124999999997,nonslang,0.7263979156173561,2,Verb,1,1,0,0
151,adulterous,31.7,59.996875,nonslang,0.7428585250217421,1,Adj,0,0,1,0
152,upgrade,5741.82,3541.2656249999995,nonslang,0.7376268912462959,5,Noun,1,1,1,0
153,intimidator,28.75,14.940625,nonslang,0.7357844831830429,1,Noun,1,0,0,0
