Unnamed: 0,word,polysemy,freq2010,freq2020,type,semantic_change,most_common,Noun_binary,Verb_binary,Adj_binary,Adverb_binary,normalized_semantic_change
50,pedo,1.0,3654.45,8028.7578125,slang,0.7385067782504922,Noun,1,1,1,0,0.6414117867823809
51,roofie,3.0,37.9,15.0234375,slang,0.7245141968764972,Noun,1,1,1,0,0.5027070238352347
52,mosey,1.0,36.9,60.51875,slang,0.7423795987173745,Noun,1,1,1,1,0.6798020330448831
53,gorp,5.0,6.3,11.58125,slang,0.7347890779498284,Noun,1,1,1,0,0.6045592057518032
54,shart,1.0,65.15,89.82499999999996,slang,0.7320310547871662,Noun,1,1,1,1,0.5772196506865198
55,glitterati,1.0,32.98,6.2078124999999975,slang,0.7440687076356665,Noun,1,1,1,0,0.6965457235649912
56,relly,1.0,313.23,54.16406249999999,slang,0.7304990748844093,Adverb,0,0,0,1,0.5620335385909632
57,dang,7.0,13040.08,3371.9687499999995,slang,0.7204038421780096,Noun,1,1,1,1,0.46196216348073366
58,thingamabob,1.0,5.7,1.8703125,slang,0.7376289309530819,Noun,1,1,1,0,0.6327099184110899
59,jalopy,1.0,13.05,10.1828125,slang,0.7372336140352136,Noun,1,1,1,0,0.6287912462292846
60,jabroni,2.0,41.0,77.496875,slang,0.7249551926577467,Noun,1,1,1,0,0.5070784985234275
61,meme,1.0,6443.98,58427.04687499999,slang,0.7306391415995424,Noun,1,1,1,0,0.5634219829387241
62,netizen,1.0,59.52,935.60625,slang,0.738754475714904,Adj,1,1,1,1,0.6438671463165203
63,slore,1.0,220.78,2.55,slang,0.7273521161500947,Noun,1,1,1,1,0.5308385679432456
64,blumpkin,1.0,18.55,2.809375,slang,0.7193258481162841,Noun,1,1,1,0,0.4512762931045962
65,plastered,1.0,142.57,249.765625,slang,0.7398815018047074,Verb,0,1,1,0,0.6550390582349276
66,nuker,1.0,109.6,19.3671875,slang,0.7403531273638644,Noun,1,0,0,1,0.6597141578205027
67,dudette,1.0,104.47,43.51875,slang,0.7102431996416941,Noun,1,1,0,0,0.3612423980048976
68,fanboy,1.0,509.35,1975.6328125,slang,0.7372730511287084,Noun,1,1,1,0,0.6291821757195855
69,rapey,1.0,45.2,318.6953125,slang,0.7276129542927336,Noun,1,1,1,0,0.5334241875494717
70,preemie,1.0,38.6,16.635937499999994,slang,0.7339024447486191,Noun,1,1,1,0,0.5957702450369945
71,mcdreamy,1.0,146.93,21.02,slang,0.7256584697444612,Noun,1,1,1,1,0.5140498985097229
72,sucky,1.0,622.38,105.8828125,slang,0.7257989706778587,Adj,1,1,1,0,0.5154426471484383
73,sinse,1.0,21.78,9.4015625,slang,0.7385133179943536,Noun,1,1,1,0,0.641476613535772
74,bonehead,1.0,55.57,57.4765625,slang,0.7253801643029523,Noun,1,1,1,0,0.5112911301838766
75,blankie,1.0,140.62,56.5984375,slang,0.735655259117115,Noun,1,1,0,0,0.6131454308568479
