,words
2101,skullet
2102,skullett
2103,skurred
2104,skyrocket
2105,slackass
2106,slack-jaw
2107,slack-jawed
2108,slam
2109,slammin'
2110,slang
2111,Slashdot
2112,sled
2113,slimebag
2114,slimeball
2115,slitch
2116,slizzard
2117,slore
2118,sloshed
2119,slow
2120,slumgullion
2121,slumpbuster
2122,slunt
2123,slushbox
2124,slut
2125,slutty
2126,smack
2127,smacktard
2128,smarts
2129,smarty
2130,smashed
2131,smashing
2132,smashingly
2133,SMDH
2134,smeg
2135,SMFH
2136,SMH
2137,smoke
2138,smoked
2139,smokey
2140,smoking
2141,smoove
2142,smush
2143,snafu
2144,snag
2145,snake
2146,snap
2147,snarf
2148,snart
2149,snatch
2150,sneak
2151,sneakernet
2152,snitch
2153,snobby
2154,snog
2155,snooze
2156,snort
2157,snot
2158,snotlocker
2159,snotty
2160,snough
2161,snow
2162,snowbird
2163,snowtograph
2164,so-and-so
2165,socialize
2166,sock
2167,sod
2168,softie
2169,SOHO
2170,SOL
2171,somewhen
2172,son
2173,sororiwhore
2174,sorostitute
2175,soul-sucking
2176,soused
2177,soz
2178,spam
2179,spamvertize
2180,Spanglish
2181,spanking
2182,spaz
2183,spearhead
2184,spec
2185,spec-ops
2186,speed
2187,speedball
2188,spendy
2189,sperg
2190,spidge
2191,spiffy
2192,spike
2193,spin
2194,spit
2195,'splain
2196,spliff
2197,spliffy
2198,split
2199,sploof
2200,spluge
2201,spoof
2202,spooge
2203,spork
2204,sport
2205,spread
2206,spread-eagle
2207,spun
2208,squawk
2209,squeal
2210,srs
2211,srsly
2212,sry
2213,SSDD
2214,SSP
2215,stabby
2216,starfish
2217,stash
2218,stat
2219,steep
2220,stellar
2221,stem
2222,stems
2223,step
2224,stepdude
2225,stew
2226,stewed
2227,sth
2228,stiffie
2229,stiffy
2230,stink
2231,stog
2232,stogie
2233,stoked
2234,stomp
2235,stoned
2236,stoner
2237,stoop
2238,stoopid
2239,strap
2240,strapped
2241,strat
2242,streak
2243,streetwise
2244,stretch
2245,stroll
2246,stuffy
2247,stunner
2248,stupid
2249,stupider
2250,styling
2251,suck
2252,sucky
2253,suds
2254,sum
2255,sup
2256,'sup
2257,superman
2258,supes
2259,sux
2260,swamped
2261,swank
2262,swap
2263,sweet
2264,sweetchious
2265,sweetie
2266,sweetness
2267,SWF
2268,SWM
2269,syonara
2270,system
2271,SYT
2272,ta
2273,tache
2274,tacky
2275,-tacular
2276,taint
2277,take
2278,takillya
2279,talent
2280,tallywacker
2281,tallywhacker
2282,tanked
2283,TANSTAAFL
2284,tar
2285,tard
2286,tardnation
2287,-tastic
2288,tata
2289,ta-ta
2290,TAY
2291,TBA
2292,TBD
2293,TBH
2294,tech
2295,techie
2296,technotard
2297,teenth
2298,teeny-tiny
2299,telly
2300,ten
2301,tenner
2302,ten-spot
2303,terribad
2304,TFW
2305,T-Giving
2306,tha
2307,thang
2308,that
2309,the
2310,them
2311,they
2312,thick
2313,thing
2314,thingamabob
2315,thing-a-majig
2316,think
2317,thirsty
2318,THO
2319,thorny
2320,threads
2321,threesie
2322,threesome
2323,three-way
2324,throat
2325,throne
2326,tht
2327,thug
2328,thump
2329,thurr
2330,thx
2331,thxs
2332,TIA
2333,tick
2334,tiggobitties
2335,tight-ass
2336,tighties
2337,time
2338,Tims
2339,ting
2340,TINLA
2341,tired
2342,tit
2343,tits
2344,tittay
2345,titty
2346,Tivo
2347,tizight
2348,TJ
2349,tks
2350,TLA
2351,TLC
2352,tldr
2353,tl;dr
2354,tl;wrl
2355,TMK
2356,TO
2357,toasted
2358,toilet
2359,toker
2360,tomo
2361,ton
2362,tongue
2363,tongue-punch
2364,toodaloo
2365,too-da-loo
2366,toodleoo
2367,toodle-oo
2368,toodles
2369,tool
2370,'toon
2371,toonie
2372,tooshy
2373,toot
2374,toot-a-loo
2375,toots
2376,topless
2377,torqued
2378,TOS
2379,toss
2380,tossed
2381,tosser
2382,toss-up
2383,totty
2384,touchdown
2385,tourney
2386,track
2387,tractored
2388,trainwreck
2389,trammy
2390,tramp
2391,tranny
2392,tranq
2393,trans
2394,trash
2395,trashed
2396,trig
2397,trippy
2398,trips
2399,trisexual
2400,troops
2401,trump
2402,tryina
2403,tryna
2404,trynna
2405,trysexual
2406,TT4N
2407,TTBOMK
2408,TTC
2409,TTFN
2410,TTITD
2411,TTYS
2412,TTYT
2413,tucker
2414,tuckus
2415,tug
2416,tummy
2417,turducken
2418,turps
2419,tush
2420,tushie
2421,tushy
2422,tux
2423,TV
2424,TW
2425,twaddle
2426,twankie-fo's
2427,twat
2428,tweak
2429,tweaker
2430,tweek
2431,tweeker
2432,tween
2433,tweep
2434,twerp
2435,twisted
2436,twit
2437,twitter
2438,twittlefuck
2439,two-bit
2440,twunt
2441,txt
2442,TYSM
2443,TYT
2444,TYVM
2445,uber
2446,UC
2447,UFO
2448,ugh
2449,ugly
2450,uh-huh
2451,uh-uh
2452,u-ie
2453,UL
2454,unbelievabubble
2455,uncool
2456,underground
2457,unders
2458,unfuckupable
2459,unholy
2460,uni
2461,unpossible
2462,unwind
2463,upboat
2464,upchuck
2465,upcycle
2466,ur
2467,urp
2468,use
2469,UYB
2470,vaca
2471,vag
2472,vagine
2473,vagoo
2474,vajayjay
2475,va-jay-jay
2476,vajizzle
2477,vamoose
2478,vaporware
2479,veggie
2480,vegitate
2481,verb
2482,vertical
2483,vexed
2484,vid
2485,-ville
2486,vio
2487,virgin
2488,VPL
2489,w00t
2490,wackadoodle
2491,wahmbulance
2492,wail
2493,walk
2494,walkie
2495,wang
2496,wank
2497,wanker
2498,wankered
2499,warez
2500,wasbian
2501,WASP
2502,WASPy
2503,wassap
2504,wassup
2505,waste
2506,wasted
2507,wat
2508,wavey
2509,way
2510,wazzock
2511,WBS
2512,WDYT
2513,we
2514,W/E
2515,weak
2516,weapons-grade
2517,webinar
2518,weirdo
2519,wen
2520,wetware
2521,WFH
2522,WFM
2523,WGAF
2524,wha-cha-ma-call-it
2525,whacked
2526,whaddaya
2527,whaddya
2528,whadja
2529,whatcha
2530,what-cha-ma-call-it
2531,whatchamadingy
2532,what's-her-face
2533,whatshername
2534,whipped
2535,whipper-snapper
2536,whippet
2537,whirlybird
2538,white
2539,whitewash
2540,whiz
2541,whiz-bang
2542,whoosh
2543,whooty
2544,whore
2545,whorehouse
2546,whosawhatsit
2547,whup
2548,wicked
2549,widger
2550,widget
2551,wif
2552,wife-beater
2553,willie
2554,Winblows
2555,Windoze
2556,windy
2557,wingman
2558,winks
2559,winky
2560,winner
2561,wino
2562,WIP
2563,wipper-snapper
2564,wisnae
2565,wit
2566,wizard
2567,w/o
2568,womyn
2569,wonk
2570,woot
2571,woozy
2572,word
2573,workaround
2574,workation
2575,workcation
2576,WOTD
2577,wow
2578,WOYM
2579,wrecked
2580,wrench
2581,WTF
2582,wuss
2583,wussup
2584,wut
2585,wuz
2586,wwg1wga
2587,wyd
2588,Xmas
2589,XTL
2590,y2k
2591,ya
2592,yabo
2593,yack
2594,yada
2595,yahoo
2596,yak
2597,y'all
2598,YANAL
2599,yarf
2600,yea
2601,yeah
2602,yello
2603,yeppers
2604,yer
2605,yers
2606,yessum
2607,yewy
2608,YHBT
2609,ying-yang
2610,yippee
2611,yis
2612,yiss
2613,yisss
2614,YMMV
2615,yo
2616,yoink
2617,yokel
2618,YOLO
2619,yoo-ee
2620,YooKay
2621,you
2622,you-know-what
2623,YSK
2624,yt?
2625,yuck
2626,YW
2627,-z
2628,za
2629,Zanny
2630,zany
2631,zinger
2632,zip
2633,zippo
2634,zippy
2635,zit
2636,zombie
2637,zomfg
2638,zoot
2639,zooted
2640,zories
2641,zounds
2642,z's
2643,zwa
