,words
511,cinchy
512,-city
513,classic
514,cleave
515,click-bait
516,clicker
517,clit-lit
518,clod
519,clone
520,clue
521,clueless
522,clunge
523,clunker
524,c'mon
525,c-note
526,coaster
527,cockbag
528,cocksucker
529,codger
530,codswallop
531,coiler
532,cojones
533,coke
534,cold
535,colitas
536,collar
537,colors
538,commie
539,compo
540,compooter
541,compy
542,con
543,condo
544,congrats
545,conniption
546,conversate
547,convo
548,cooch
549,coochie
550,cooked
551,cooker
552,cool
553,coolio
554,cooter
555,cooties
556,cop
557,copper
558,copy-cat
559,copy-pasta
560,correctamoondoe
561,correctamundo
562,cos
563,COTS
564,cougar
565,cover
566,coyote
567,coz
568,CP
569,crabbit
570,cracken
571,cra-cra
572,crank
573,cranky
574,crap
575,crap-fest
576,craplet
577,crap-load
578,crapper
579,crappy
580,craptacular
581,craptastic
582,crapware
583,crash
584,cray
585,crazy-pants
586,cream-crackered
587,cred
588,creep
589,creepy
590,cretin
591,crib
592,crim
593,Crimbo
594,cris
595,Crissy
596,crit
597,crock
598,cromulent
599,cronick
600,crossfade
601,crotchal
602,crowdsourcing
603,CRS
604,crucify
605,cruise
606,crummy
607,crystal
608,CSB
609,CTFU
610,cuckoo
611,cuckservative
612,cum
613,cunt
614,cuntsicle
615,cunt-struck
616,cuppa
617,cushiony
618,cutty
619,daddy
620,DAE
621,daft
622,dafuq
623,dago
624,dang
625,dangler
626,dank
627,dap
628,dash
629,dat
630,date
631,dawg
632,days
633,DBI
634,DC
635,DDG
636,deck
637,decompress
638,dedi
639,deem
640,deets
641,deez
642,deffo
643,delish
644,dem
645,devil
646,DFTBA
647,DFTT
648,DH
649,dhont
650,dick
651,diddly-squat
652,die
653,diff
654,dig
655,diggings
656,digits
657,dilligaf
658,dim
659,dimwit
660,ding
661,ding-a-ling
662,dingbat
663,ding-head
664,dingus
665,dipshit
666,dirt
667,dirtwad
668,dis
669,disappear
670,disastrophe
671,disco
672,dish
673,ditch
674,diva
675,DM
676,DMIID
677,DNB
678,dnt
679,DOB
680,doc
681,dock
682,doco
683,dodgy
684,do-do
685,dog
686,dogfood
687,dogg
688,doggie
689,doggy
690,d'oh
691,doiche
692,dome
693,done
694,donezo
695,done-zo
696,dong
697,donk
698,donkey-faced
699,donorcycle
700,doo
701,doob
702,doober
703,doodad
704,doo-doo
705,doofus
706,dook
707,dooky
708,doorstop
709,doosh
710,doozy
711,dope
712,doper
713,dork
714,dose
715,dot-com
716,double-bagger
717,doubleplus
718,doucher
719,douchey
720,doughboy
721,down
722,down-blouse
723,dox
724,DP
725,drank
726,drapes
727,drats
728,dreamboat
729,dro
730,drone
731,drongo
732,droppings
733,drummy
734,DSL
735,DTF
736,DTRT
737,dube
738,dubs
739,ducats
740,duckbutter
741,duckface
742,ducking
743,dude
744,dudette
745,duds
746,dugg
747,duh
748,Dullsville
749,dumbfuck
750,dumb-fuck
751,dump
752,dunlop
753,dunno
754,dunzo
755,dupe
756,dur
757,dust
758,dustup
759,Dutchie
760,dweeb
761,e-
762,earboob
763,earworm
764,easy-peasy
765,eats
766,ecohacking
767,eejit
768,ef
769,eff
770,egg
771,Egypt
772,Einstein
773,elite
774,'em
775,emo
776,empty-nester
777,ent
778,EOB
779,EOD
780,EOF
781,EOM
782,epi
783,equipment
784,errbody
785,errday
786,erryday
787,ersatz
788,escort
789,ese
790,e-tard
791,everything
792,evo-devo
793,ew
794,eww
795,ex
796,expiry
797,eye
798,eyeball
799,eyeballs
800,eye-fuck
801,eye-opener
802,F2F
803,F2P
804,f4f
805,faceplant
806,facialize
807,faded
808,faff
809,faggot
810,fail
811,Fairy
812,false
813,fam
814,famously
815,fanboi
816,fanboy
817,fancy
818,fancy-pants
819,fan-fucking-tastic
820,fantabulous
821,fap
822,FAQ
823,farklempt
824,fart
825,fart-knocker
826,fashy
827,fast-track
828,fat
829,fat-ass
830,fatso
831,fatty
832,fav
833,fave
834,f-bomb
835,fecker
836,fed
837,feeder
838,feels
839,felch
840,fella
841,fence
842,fess
843,-fest
844,Festivus
845,FFS
846,fiddlesticks
847,fidiot
848,fierce
849,FIGMO
850,figs
851,FILF
852,filly
853,fine
854,finger
855,finish
856,finna
857,fire
858,firecracker
859,firement
860,fisho
861,fist
862,fit
863,fit-shaced
864,fivehead
865,five-oh
866,fiver
867,fixie
868,flabbergasted
869,flack
870,flakey
871,flaky
872,flame
873,flamer
874,flapdoodle
875,flatfoot
876,flatmate
877,flavor-saver
878,flick
879,FLK
880,floordrobe
881,floozie
882,floozy
883,FLOTUS
884,flow
885,flower
886,flub
887,fluffer
888,flutterby
889,fly
890,flyer
891,FML
892,FOAD
893,FOAF
894,fokoloyor
895,FOMO
896,foo
897,fooey
898,fook
899,forizzle
900,fork
901,forty
902,FOS
903,four-eyes
904,foxy
905,FR
906,frat
907,frat-tastic
908,freak
909,freaking
910,freakishly
911,freak'n
912,freaky
913,freaky-deaky
914,freckle
915,free-ball
916,freebie
917,freeware
918,french
919,frenemy
920,fresh
921,fried
922,friend
923,frig
924,frigging
925,fritzy
926,frogurt
927,fromunda
928,front
929,frosh
930,frou-frou
931,froyo
932,frugalista
933,fruit
934,fruitcake
935,fry
936,FTFY
937,FTL
938,FTR
939,FTW
940,FU
941,-fu
942,FUBAB
943,FUBAR
944,fuck
945,fuckall
946,fuckbunny
947,fucked
948,fucker
949,fucking
950,fucko
951,fucktoy
952,fuckwit
953,fudge
954,fu-fu
955,fugly
956,funds
957,fungry
958,funky
959,funsies
960,FUPA
961,fuq
962,futanaria
963,futhermucker
964,futzed
965,fuzzily
966,FWB
967,FWIW
968,FWP
969,FYI
970,gacked
971,gaffle
972,gag
973,gah
974,gains
975,gal
976,game
977,gangcar
978,gange
979,ganja
980,ganje
981,gansta
982,gat
983,gatt
984,gattered
985,gawd
986,gawk
987,gayborhood
988,gazenta
989,gazinta
990,gazunga
991,gc
992,geegaw
993,geek
994,geez
995,get
996,getup
997,GF
998,GFE
999,GFY
1000,GFYS
1001,GG
1002,GHB
1003,ghetto
1004,ghost
1005,gig
1006,giggity
1007,GILF
1008,gimme
1009,gimmie
1010,gimp
1011,ginchy
1012,ginger
1013,ginormous
1014,girl
1015,girlfriend
1016,girls
1017,girly-girl
1018,git
1019,glam
1020,glamping
1021,GLHF
1022,glitterati
1023,glookin'
1024,glorified
1025,glute
1026,gnarly
1027,GNL
1028,GNO
1029,go-ahead
1030,gobbledygook
1031,gobby
1032,gobsmacked
1033,God
1034,goddamn
1035,goddamned
1036,gold
1037,golden
1038,gonad
1039,goner
1040,gonna
1041,gonner
1042,gooberhead
1043,goocher
1044,good
1045,GOP
1046,gorge
1047,gorgy
1048,gorp
1049,got
1050,gots
1051,gotsta
1052,gotta
1053,GOTY
1054,gouch
1055,gourd
1056,governor
1057,gr8
1058,graf
1059,graff
1060,gran
1061,grand
1062,granpa
1063,graph
1064,grasshopper
1065,gratz
1066,gravy
1067,graze
1068,greets
1069,gridlock
1070,grief
1071,griefer
1072,grill
1073,grip
1074,grl
1075,grody
1076,groove
1077,grope
1078,groutfiti
1079,grub
1080,grundle
1081,GTG
1082,GTS
1083,guise
1084,guize
1085,gumby
1086,gump
1087,gunk
1088,gunna
1089,gunt
1090,guy
1091,guyliner
1092,gwop
1093,h8
1094,h8t
1095,hack
1096,hackish
1097,hacktivism
1098,HAGS
1099,half-pint
1100,halp
1101,hammer
1102,handjob
1103,handle
1104,handsy
1105,handy
1106,hang
1107,hanger
1108,hard-ass
1109,hardcore
1110,hard-on
1111,hardware
1112,has-been
1113,hasbian
1114,hatch
1115,hater
1116,hax0r
1117,haxor
1118,haz
1119,HBU
1120,head
1121,header
1122,headlights
1123,heaps
1124,heart
1125,hecka
1126,heinous
1127,hella
1128,hells
1129,hench
1130,hen-dog
1131,Henny
1132,her
1133,het
1134,hetero
1135,heteroflexible
1136,HFS
1137,hick
1138,hickhop
1139,high
1140,high-beams
1141,high-maintenance
1142,high-tone
1143,hillbilly
1144,hip
1145,hitch
1146,hitter
1147,HMFWIC
1148,HMU
1149,ho
1150,hob-knob
1151,hobnob
1152,hoebag
1153,hogbeast
1154,hog-wild
1155,hokum
1156,hold
1157,hole
1158,holla
1159,holler
1160,Homer
1161,homes
1162,homey
1163,homie
1164,homo
1165,honcho
1166,hooch
1167,hoochie
1168,hood
1169,hooey
1170,hoo-hoo
1171,hooker
1172,hoopdee
1173,hoopla
1174,hooptie
1175,hoopty
1176,hoosegow
1177,hoot
1178,hootenanny
1179,hopping
1180,horked
1181,horndog
1182,horny
1183,horribad
1184,horse
1185,hose
1186,hosed
1187,hoser
1188,hoss
1189,hotdog
1190,hottie
1191,hotty
1192,hot-wire
1193,howzit
1194,hugemongous
1195,huminah
1196,hummer
1197,hundee
1198,hundo
1199,hundreds
1200,hung
1201,hunnit
1202,hunny
1203,hurl
1204,hurler
1205,hussy
1206,huzzie
1207,hw
1208,hydro
1209,hype
1210,hypermile
1211,hypermiler
1212,IANACL
1213,IANAL
1214,IANAMD
1215,IANAQP
1216,IANYL
1217,IBF
1218,IBFF
1219,IBT
1220,IBTC
1221,ic
1222,ice
1223,icky
1224,ICYMI
1225,ID10T
1226,ID-10-T
1227,IDBY
1228,IDEK
1229,IDGAS
1230,idjet
1231,IDK
1232,IDKK
1233,IGF
1234,IIR
1235,IIRC
1236,ijit
1237,IKR
1238,ILU
1239,ILU2
1240,ILY
1241,ILYLAS
1242,IM
1243,I'ma
1244,IMAO
1245,IME
1246,I'mma
1247,IMO
1248,imona
1249,IMYSM
1250,-in
1251,INAE
1252,incel
1253,ineptocracy
1254,info
1255,inhale
1256,innit
1257,intel
1258,interweb
1259,into
1260,ion
1261,IOW
1262,irie
1263,IRL
1264,ish
1265,it
1266,Itanic
1267,item
1268,ITIGBS
1269,ITRW
1270,ITT
1271,iunno
1272,IWTFIL
1273,IYO
1274,j00r
1275,jabber
1276,jabroni
1277,jabronie
1278,jackass
1279,jacked
1280,jag-wagon
1281,jaja
1282,jalopy
1283,Jamie
1284,jammed
1285,JANFU
1286,janky
1287,jarhead
1288,jay
1289,JB
1290,jeebus
1291,jeez
1292,jeeze
1293,Jeezum
1294,jel
1295,jels
1296,jenkem
1297,jerk
1298,jerk-face
1299,jerkwad
1300,jet
1301,JFC
1302,jiffy
1303,jigger
1304,jiggy
1305,jill
1306,jimmies
1307,jism
1308,jizm
1309,jizz
1310,jizzum
1311,j-kidsky
1312,jock
1313,John
1314,johnson
1315,JOI
1316,JOOC
1317,jorts
1318,josh
1319,journo
1320,joy
1321,jug
1322,juggy
1323,jughead
1324,juiced
1325,juicy
1326,juju
1327,junk
1328,junkie
1329,junky
1330,k3w1
1331,kafuffle
1332,kahuna
1333,kajillion
1334,kandi
1335,kertang
1336,kevork
1337,kewl
1338,k-hole
1339,kick
1340,kickass
1341,kicker
1342,kicking
1343,kicks
1344,kiddie
1345,kill
1346,killer
1347,kinda
1348,kink
1349,kipe
1350,KISS
1351,kitteh
1352,kitty
1353,Kiwi
1354,kk
1355,klink
1356,kludge
1357,KMT
1358,knackered
1359,knackers
1360,knee-trembler
1361,knickers
1362,knob
1363,knobhead
1364,knot
1365,know-it-all
1366,knucklehead
1367,Kombi
1368,kooky
1369,kosher
1370,k-rad
1371,kthx
1372,kthxbai
1373,kthxbye
1374,Lambo
1375,lame-ass
1376,lame-o
1377,lapper
1378,large
1379,larry
1380,last-year
1381,LatAm
1382,late
1383,later
1384,laters
1385,laugh
1386,launder
1387,LDR
1388,lead
1389,lech
1390,LEL
1391,lemme
1392,lemon
1393,lettuce
1394,lewd
1395,LF
1396,LG
1397,libtard
1398,licking
1399,lid
1400,lifer
1401,limo
1402,limou
1403,limpdick
1404,line
1405,linner
1406,lippy
1407,LMAO
1408,LMBO
1409,LMK
1410,LML
1411,LMMFAO
1412,LMRO
1413,load
1414,loaded
1415,loads
1416,loal
1417,locavore
1418,locks
1419,LOL
1420,lolz
1421,lolzy
1422,LOML
1423,loo
1424,loogie
1425,loogy
1426,lookie
1427,loon
1428,looney
1429,loonie
1430,loony
1431,loopy
1432,loot
1433,lordy
1434,loud
1435,lovebird
1436,low-key
1437,LSD
1438,LTR
1439,lugie
1440,lulz
1441,lupper
1442,lurve
1443,lush
1444,ly
1445,lyfe
1446,LYLAB
1447,LYLAS
1448,m4f
1449,m4m
1450,m8
1451,ma'am
1452,mac
1453,MacGyver
1454,mack
1455,mad
1456,madame
1457,madcap
1458,make
1459,malarkey
1460,malarky
1461,malware
1462,mama
1463,man
1464,mandal
1465,mang
1466,manhood
1467,man-slut
1468,manties
1469,manwhore
1470,marg
1471,marinate
1472,Mary
1473,mastah
1474,mate
1475,mathemagician
1476,max
1477,mayo
1478,McDreamy
1479,mean
1480,means
1481,meatspace
1482,med
1483,megabucks
1484,melon
1485,meme
1486,me-ow
1487,meth
1488,Methuselated
1489,MIA
1490,MIL
1491,MILF
1492,millihelen
1493,milsurp
1494,mimbo
1495,mine
1496,mint
1497,minute
1498,mipple
1499,misc
1500,Miss
1501,misty-eyed
1502,MJ
1503,mmm
1504,MMORPG
1505,mo
1506,mob
1507,Mobilegeddon
1508,mofo
1509,mofugly
1510,moggy
1511,mole
1512,moll
1513,moms
1514,mondo
1515,monet
1516,money
1517,monster
1518,moob
1519,moofer
1520,moola
1521,moolah
1522,moonlight
1523,moped
1524,MOPS
1525,moran
1526,mosey
1527,mosh
1528,mossie
1529,mota
1530,mothafucka
1531,motherfucking
1532,motor
1533,motor-mouth
1534,Motown
1535,MOTS
1536,MOTSS
1537,mouthy
1538,move
1539,mozzie
1540,Mr.
1541,msg
1542,MTB
1543,MTF
1544,muah
1545,mug
1546,mula
1547,mule
1548,mullet
1549,mum
1550,munchies
1551,mundane
1552,muppet
1553,mushies
1554,mushrooms
1555,MWF
1556,MWM
1557,MySpace
1558,na
1559,naa-naa
1560,nad
1561,nads
1562,nah
1563,NAK
1564,nakey
1565,nakie
1566,nan
1567,nana
1568,na-na
1569,nao
1570,nappy
1571,narc
1572,nard
1573,nards
1574,narf
1575,nasty
1576,nastygram
1577,nav
1578,NBD
1579,NCMO
1580,ne1
1581,neato
1582,nectar
1583,neg
1584,negative
1585,negatory
1586,nellie
1587,nelly
1588,neocon
1589,nerf
1590,'net
1591,netizen
1592,next-level
1593,NFI
1594,n/g
1595,NGD
1596,NGL
1597,nic
1598,nice
1599,nick
1600,nifty
1601,nigga
1602,nightie
1603,nightmare
1604,nimrod
1605,nippy
1606,nitwit
1607,n/m
1608,NMS
1609,NMU
1610,no
1611,nob
1612,NoCal
1613,noice
1614,noise
1615,nonsumer
1616,nood
1617,nookie
1618,nope
1619,NorCal
1620,nothingburger
1621,NSFL
1622,NSFW
1623,NSS
1624,nuker
1625,number
1626,numbskull
1627,numpty
1628,nunya
1629,nurple
1630,nut
1631,nuts
1632,nutso
1633,nutty
1634,NVM
1635,NWS
1636,NYE
1637,NYPA
1638,nyuk
1639,Obama
1640,Obamacare
1641,obvi
1642,OE
1643,offline
1644,OG
1645,OJ
1646,okay
1647,okee-doke
1648,Oly
1649,OMFG
1650,OMGWTF
1651,omgwtfbbq
1652,OMLG
1653,OMW
1654,onboard
1655,one
1656,ONS
1657,on-trend
1658,OOMF
1659,OOTB
1660,oral
1661,OTT
1662,OTW
1663,outa
1664,outfit
1665,outie
1666,out-of-touch
1667,owie
1668,own
1669,ownage
1670,Oxy
1671,Oxycotton
1672,Oxys
1673,Pabstsmir
1674,package
1675,packed
1676,Paki
1677,pal
1678,pants
1679,pardner
1680,partner
1681,patootie
1682,patsy
1683,peace
1684,peach
1685,peachy
1686,PEBCAK
1687,PEBKAC
1688,pecker
1689,peckish
1690,pedo
1691,pee
1692,pee-ew
1693,peen
1694,peep
1695,peepers
1696,peeps
1697,peeter
1698,pee-yew
1699,pee-yoo
1700,pen15
1701,pencildick
1702,perf
1703,performant
1704,perma-fried
1705,permagrin
1706,perp
1707,perv
1708,perve
1709,pfft
1710,PFO
1711,phat
1712,PHB
1713,Ph.D
1714,phew
1715,photobomb
1716,photog
1717,pibble
1718,pic
1719,pickle
1720,pick-me-up
1721,piece
1722,piflicated
1723,pig
1724,pigeon
1725,piggy
1726,pig-headed
1727,PIK
1728,pimp
1729,pimperistic
1730,pinch
1731,ping
1732,pink
1733,pins
1734,pirate
1735,piss
1736,piss-ant
1737,pissed
1738,piss-fart
1739,piss-poor
1740,PITA
1741,place
1742,plank
1743,planking
1744,plastered
1745,play
1746,player
1747,please
1748,plox
1749,pls
1750,plum
1751,plumbing
1752,plumpkin
1753,plz
1754,PM
1755,PMJI
1756,pogo
1757,poke
1758,pol
1759,politico
1760,polyg
1761,pom
1762,poo
1763,pooey
1764,poon
1765,poonami
1766,poonaner
1767,poop
1768,pooper
1769,poopy
1770,poot
1771,pooter
1772,popper
1773,porcelain
1774,pork
1775,porn
1776,poseur
1777,posta
1778,postal
1779,postarrhea
1780,pot
1781,pot-head
1782,potna
1783,potrepreneur
1784,potty
1785,pound
1786,ppl
1787,preash
1788,preemie
1789,'preesh
1790,prefab
1791,preggers
1792,preggo
1793,prego
1794,pregos
1795,prehab
1796,premo
1797,pre-owned
1798,prereq
1799,presser
1800,pressie
1801,prettyful
1802,previous
1803,prezzie
1804,pricey
1805,primo
1806,princess
1807,print
1808,privates
1809,prly
1810,prob
1811,prof
