word,polysemy,freq2010,freq2020,type,semantic_change
decomposition,5.0,19.4,59.715625,nonslang,0.7376917931516734
rump,3.0,185.0,299.31249999999994,nonslang,0.7402643909296641
heaviest,28.0,152.03,223.4921875,nonslang,0.7414622548837466
echo,9.0,3661.57,6124.2265625,nonslang,0.7385665116670121
scallywag,3.0,23.3,12.2578125,nonslang,0.7310876094794696
peppy,1.0,209.5,133.6171875,nonslang,0.7389454385615264
shield,5.0,1223.58,4031.1234375,nonslang,0.7448870611945574
banzai,1.0,219.95,198.4765625,nonslang,0.7428219457162002
pantsuit,1.0,17.25,51.43749999999999,nonslang,0.7413736683021953
legalist,1.0,2.98,2.315625,nonslang,0.7223434730411356
moldovan,1.0,21.6,20.3234375,nonslang,0.7488661470582353
terrifies,1.0,64.38,248.7765625,nonslang,0.7209804452236029
postural,1.0,16.6,52.2703125,nonslang,0.7420275526261257
butane,1.0,41.8,15.371875,nonslang,0.7446208234486431
grisly,1.0,54.92,77.56249999999999,nonslang,0.7387119494749319
scheme,7.0,2074.88,7530.0,nonslang,0.7484617826720475
jute,2.0,57.02,87.6953125,nonslang,0.7444218741906996
anticlockwise,2.0,41.55,11.0984375,nonslang,0.7746812732468532
underrated,1.0,986.08,5905.859375,nonslang,0.7372237239771664
trampolining,1.0,16.52,6.687499999999999,nonslang,0.7234801216174306
awesome,1.0,91723.07,28310.2609375,nonslang,0.7270758408070195
humblest,4.0,25.45,94.309375,nonslang,0.7255129947305705
galavant,1.0,3.88,12.937499999999998,nonslang,0.7364457476587893
sailor,3.0,1075.3,2482.59375,nonslang,0.7344256753135308
fiddled,7.0,19.7,266.07031249999994,nonslang,0.7480781099461097
bright,11.0,8268.9,16892.453125,nonslang,0.7364151299960866
epilator,1.0,22.55,8.893749999999997,nonslang,0.7322513317409336
sabertooth,1.0,23.38,39.8875,nonslang,0.7342245350312622
calorie,2.0,894.38,312.2921875,nonslang,0.7370436379289609
conventionally,1.0,13.5,72.9875,nonslang,0.7302594240853619
telogen,1.0,1.35,1.25,nonslang,0.7376919759287833
deathblow,1.0,4.97,11.890624999999998,nonslang,0.7416046770227365
repentant,1.0,24.45,200.95,nonslang,0.7290468289992977
superabundance,1.0,0.96,1.9296875,nonslang,0.7374422080735313
admitting,8.0,481.85,2145.1249999999995,nonslang,0.7354560264268295
scummiest,2.0,1.95,11.929687499999998,nonslang,0.7276223775753239
strap,8.0,1754.5,1326.6874999999998,nonslang,0.7451044761757736
shylock,2.0,12.0,58.621875,nonslang,0.7365066386858576
glutton,2.0,100.22,58.4453125,nonslang,0.7248134092345748
squall,4.0,104.83,131.3453125,nonslang,0.7325215976044294
